"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;MATHEMATICAL & COMPUTATIONAL BIOLOGY;STATISTICS & PROBABILITY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Nature Machine Intelligence","NAT MACH INTELL","NATURE PORTFOLIO","N/A","2522-5839","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","23,900","29.8","Q1","4.19","37.47"%,
"Computers and Education: Artificial Intelligence","COMPUT EDUC-ARTIF IN","ELSEVIER","2666-920X","2666-920X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","7,468","23.4","Q1","5.27","100"%,
"Nature Computational Science","NAT COMPUT SCI","SPRINGERNATURE","N/A","2662-8457","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","6,661","20.3","Q1","3.6","29.75"%,
"Foundations and Trends in Computer Graphics and Vision","FOUND TRENDS COMPUT","NOW PUBLISHERS INC","1572-2740","1572-2759","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","569","14.7","Q1","2.67","100"%,
"Journal of Statistical Software","J STAT SOFTW","JOURNAL STATISTICAL SOFTWARE","1548-7660","1548-7660","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","54,739","14.3","Q1","3.12","100"%,
"Journal of Statistical Software","J STAT SOFTW","JOURNAL STATISTICAL SOFTWARE","1548-7660","1548-7660","STATISTICS & PROBABILITY","SCIE","54,739","14.3","Q1","3.12","100"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","32,042","14","Q1","2.67","33.76"%,
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","MIT PRESS","0891-2017","1530-9312","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,750","13.4","Q1","4.41","100"%,
"Meta-Radiology","META-RADIOLOGY","KEAI PUBLISHING LTD","N/A","2950-1628","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","696","13.3","Q1","2.32","100"%,
"COMPUTERS & EDUCATION","COMPUT EDUC","PERGAMON-ELSEVIER SCIENCE LTD","0360-1315","1873-782X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","30,879","13.2","Q1","3.57","39.59"%,
"ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING","ARCH COMPUT METHOD E","SPRINGER","1134-3060","1886-1784","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","15,579","12.9","Q1","1.54","17.59"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0278-0062","1558-254X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","43,138","12.4","Q1","2.4","10.4"%,
"Computers and Education Open","COMPUT EDUC OPEN","ELSEVIER","2666-5573","2666-5573","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,155","12.3","Q1","2.54","100"%,
"ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING","ROBOT CIM-INT MANUF","PERGAMON-ELSEVIER SCIENCE LTD","0736-5845","1879-2537","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","16,286","12.3","Q1","2.02","25.23"%,
"Journal of Industrial Information Integration","J IND INF INTEGR","ELSEVIER","2467-964X","2452-414X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","6,282","11.2","Q1","1.9","26.09"%,
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","WILEY","1759-0876","1759-0884","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","14,224","10.9","Q1","4.16","44.72"%,
"Patterns","PATTERNS","CELL PRESS","2666-3899","2666-3899","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","5,672","10.8","Q1","1.45","100"%,
"COMPUTERS AND ELECTRONICS IN AGRICULTURE","COMPUT ELECTRON AGR","ELSEVIER SCI LTD","0168-1699","1872-7107","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","65,217","10.3","Q1","2.07","22.99"%,
"International Journal of Artificial Intelligence in Education","INT J ARTIF INTELL E","SPRINGER","1560-4292","1560-4306","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","4,206","10.1","Q1","1.31","57.63"%,
"COMPUTERS IN INDUSTRY","COMPUT IND","ELSEVIER","0166-3615","1872-6194","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","12,020","10","Q1","1.74","38.36"%,
"IEEE Transactions on Industrial Informatics","IEEE T IND INFORM","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1551-3203","1941-0050","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","67,688","9.8","Q1","1.9","2.27"%,
"Annual Review of Statistics and Its Application","ANNU REV STAT APPL","ANNUAL REVIEWS","2326-8298","2326-831X","STATISTICS & PROBABILITY","SCIE","3,235","9.8","Q1","1.39","98.67"%,
"COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING","COMPUT-AIDED CIV INF","ELSEVIER SCIENCE INC","1093-9687","1467-8667","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","11,486","9.2","Q1","1.67","64.61"%,
"AI Open","AI OPEN","KEAI PUBLISHING LTD","N/A","2666-6510","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,476","8.9","Q1","2.48","100"%,
"Information Processing in Agriculture","INFORM PROCESS AGR","ELSEVIER","2214-3173","2214-3173","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,081","8.9","Q1","2.02","100"%,
"Machine Learning and Knowledge Extraction","MACH LEARN KNOW EXTR","MDPI","N/A","2504-4990","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","3,187","8.4","Q1","0.91","100"%,
"Statistics Surveys","STAT SURV","AMER STATISTICAL ASSOC","1935-7516","1935-7516","STATISTICS & PROBABILITY","ESCI","1,434","8.2","Q1","6.69","92.86"%,
"Annual Review of Biomedical Data Science","ANNU REV BIOMED DA S","ANNUAL REVIEWS","2574-3414","2574-3414","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,071","8.1","Q1","0.81","100"%,
"Research Synthesis Methods","RES SYNTH METHODS","CAMBRIDGE UNIV PRESS","1759-2879","1759-2887","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","10,861","8","Q1","1.83","88.73"%,
"Journal of Cheminformatics","J CHEMINFORMATICS","BMC","1758-2946","1758-2946","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","13,430","7.9","Q1","1.34","100"%,
"BioData Mining","BIODATA MIN","BMC","1756-0381","1756-0381","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","2,020","7.9","Q1","1.22","100"%,
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","ELSEVIER","1568-4946","1872-9681","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","56,796","7.8","Q1","1.26","9.89"%,
"Intelligent Medicine","INTEL MED","ELSEVIER","2667-1026","2667-1026","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","732","7.8","Q1","0.95","100"%,
"IEEE Journal of Biomedical and Health Informatics","IEEE J BIOMED HEALTH","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2194","2168-2208","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","27,151","7.7","Q1","1.77","6.35"%,
"IEEE Journal of Biomedical and Health Informatics","IEEE J BIOMED HEALTH","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2194","2168-2208","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","27,151","7.7","Q1","1.77","6.35"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1084-8045","1095-8592","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","11,545","7.7","Q1","1.22","19.54"%,
"IEEE Transactions on Learning Technologies","IEEE T LEARN TECHNOL","IEEE COMPUTER SOC","1939-1382","1939-1382","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,995","7.4","Q1","2.22","13.94"%,
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","OXFORD UNIV PRESS","1467-5463","1477-4054","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","33,255","7.3","Q1","1.79","81.95"%,
"Computers & Industrial Engineering","COMPUT IND ENG","PERGAMON-ELSEVIER SCIENCE LTD","0360-8352","1879-0550","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","43,552","7.3","Q1","1.19","15.73"%,
"COMPUTERS AND GEOTECHNICS","COMPUT GEOTECH","ELSEVIER SCI LTD","0266-352X","1873-7633","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","36,532","7.1","Q1","1.51","17.96"%,
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","18,887","7.1","Q1","1.48","38.63"%,
